Fecha,Z_zona,n,Suelo,Fa,Fd,Fs,r,h,Ct,alpha,Ta_E,I,R,phi_p,phi_e,TaN,Sa_TaN,V_TaN,TaE,Sa_TaE,V_TaE
2026-09-03 16:38:46,V,2.48,D,1.1,1.11,1.28,1.0,10.26,0.055,0.75,1.0,1.3,5.0,1.0,1.0,0.315,1.091,0.284,1.0,0.775,0.202
2026-09-03 16:40:38,V,2.48,D,1.1,1.11,1.28,1.0,7.1,0.055,0.75,0.83,1.3,5.0,1.0,1.0,0.239,1.091,0.284,0.83,0.934,0.243
